timestamp,value
2025-09-01T10:09:15,4.775
2025-09-01T10:09:18,5.068
2025-09-01T10:09:21,5.193
2025-09-01T10:09:24,5.209
2025-09-01T10:09:27,5.075
,4.833
2025-09-01T10:09:33,5.189
2025-09-01T10:09:36,4.855
2025-09-01T10:09:39,4.861
2025-09-01T10:09:42,5.058
2025-09-01T10:09:45,5.176
2025-09-01T10:09:48,5.110
2025-09-01T10:09:51,5.233
2025-09-01T10:09:54,4.771
2025-09-01T10:09:57,5.130
2025-09-01T10:10:00,4.837
2025-09-01T10:10:03,5.034
2025-09-01T10:10:06,5.069
2025-09-01T10:10:09,5.101
2025-09-01T10:10:12,5.200
,4.823
2025-09-01T10:10:18,5.063
2025-09-01T10:10:24,5.082
,4.707
2025-09-01T10:10:30,4.821
2025-09-01T10:10:33,5.232
2025-09-01T10:10:36,4.988
2025-09-01T10:10:39,4.844
2025-09-01T10:10:42,4.797
2025-09-01T10:10:45,4.937
2025-09-01T10:10:48,5.166
2025-09-01T10:10:51,4.839
2025-09-01T10:10:54,5.267
2025-09-01T10:10:57,5.130
2025-09-01T10:11:00,4.729
2025-09-01T10:11:03,5.084
2025-09-01T10:11:06,5.036
2025-09-01T10:11:09,4.811
2025-09-01T10:11:12,5.248
2025-09-01T10:11:15,5.257
2025-09-01T10:11:18,5.139
2025-09-01T10:11:21,5.210
,5.298
2025-09-01T10:11:27,5.008
2025-09-01T10:11:33,4.703
2025-09-01T10:11:36,5.308
2025-09-01T10:11:39,4.806
2025-09-01T10:11:42,4.762
2025-09-01T10:11:45,5.222
2025-09-01T10:11:48,5.236
2025-09-01T10:11:51,4.938
2025-09-01T10:11:54,5.103
2025-09-01T10:11:57,4.973
2025-09-01T10:12:00,4.906
2025-09-01T10:12:03,4.839
2025-09-01T10:12:06,4.705
2025-09-01T10:12:09,5.048
2025-09-01T10:12:12,5.099
2025-09-01T10:12:15,4.913
,4.736
,4.844
2025-09-01T10:12:24,5.224
2025-09-01T10:12:27,4.972
